Image,Source,Type,CX,CY,X_min,Y_min,W,H,Area
380.tif,Total,white,111,535,89,508,48,56,1589.5
380.tif,Total,white,514,199,503,185,23,29,439.0
380.tif,Total,black,417,315,397,291,41,55,1635.0
103.tif,Total,white,472,345,444,331,57,31,1344.5
103.tif,Total,white,566,307,555,292,20,29,430.5
103.tif,Total,white,196,167,182,150,32,38,867.0
103.tif,Total,white,5,142,0,129,12,28,277.5
103.tif,Total,white,561,250,546,234,29,33,768.0
103.tif,Total,white,305,488,274,472,59,33,1145.0
103.tif,Total,black,287,287,0,0,575,575,329537.0
103.tif,Total,black,71,474,47,452,49,46,1526.0
103.tif,Total,black,449,490,427,471,42,37,954.0
103.tif,Total,black,93,291,66,263,53,58,2296.5
103.tif,Total,black,333,377,311,362,46,32,1027.0
103.tif,Total,black,426,128,399,105,48,51,1427.0
103.tif,Total,black,15,214,0,164,41,95,2582.0
251.tif,Total,black,232,399,217,365,32,74,1169.5
251.tif,Total,black,299,5,285,0,28,15,277.5
251.tif,Total,black,244,170,228,158,30,28,615.0
251.tif,Total,black,55,256,39,244,34,25,559.5
251.tif,Total,black,174,180,160,164,27,37,642.5
251.tif,Total,black,466,190,456,168,23,41,627.0
251.tif,Total,black,146,379,135,362,22,37,545.0
251.tif,Total,white,567,411,554,362,21,76,834.5
251.tif,Total,white,515,83,500,63,32,43,906.5
251.tif,Total,white,8,459,0,450,18,20,283.5
251.tif,Total,white,290,358,279,349,24,20,370.5
251.tif,Total,white,85,268,72,256,28,25,534.0
251.tif,Total,black,276,218,250,182,57,71,1486.5
251.tif,Total,black,328,369,315,351,30,36,718.0
251.tif,Total,black,43,540,34,530,17,19,193.0
251.tif,Total,black,519,246,510,238,19,18,173.5
314.tif,Total,white,51,408,37,385,30,44,970.5
314.tif,Total,white,295,399,273,372,44,53,1765.5
314.tif,Total,white,296,29,265,0,57,67,3095.5
314.tif,Total,white,524,263,500,235,48,59,2021.5
314.tif,Total,white,356,194,327,147,59,94,3901.5
314.tif,Total,white,137,554,112,526,57,49,2140.5
314.tif,Total,white,130,52,108,30,47,45,1600.0
314.tif,Total,black,280,295,264,264,31,63,1477.5
314.tif,Total,black,149,479,129,443,48,80,2674.0
314.tif,Total,black,227,557,201,533,59,42,1553.5
197.tif,Total,black,564,192,541,156,34,109,1347.0
197.tif,Total,black,565,397,547,290,28,212,3519.0
197.tif,Total,black,314,404,281,347,76,117,4267.0
197.tif,Total,black,129,439,105,420,45,37,879.5
197.tif,Total,black,145,194,129,176,31,38,866.0
197.tif,Total,black,70,558,39,532,66,43,1801.0
197.tif,Total,black,305,294,273,254,62,76,3456.5
197.tif,Total,white,48,445,36,429,25,35,696.0
197.tif,Total,white,285,561,267,543,46,32,934.5
197.tif,Total,white,194,557,158,529,75,46,2257.0
197.tif,Total,white,443,386,418,362,54,55,2027.5
197.tif,Total,white,470,351,453,326,34,53,1188.5
197.tif,Total,white,214,25,189,4,48,39,1400.0
178.tif,Total,black,228,401,191,354,83,127,5556.0
178.tif,Total,black,566,457,554,400,21,93,1222.0
178.tif,Total,black,352,546,295,505,98,70,3431.0
178.tif,Total,black,11,275,0,240,30,79,1578.0
178.tif,Total,black,567,91,549,0,26,144,1754.5
178.tif,Total,black,91,526,54,490,85,85,2433.5
178.tif,Total,white,16,20,0,0,49,54,1484.5
178.tif,Total,white,361,164,351,155,21,19,288.0
178.tif,Total,white,452,135,432,120,40,29,769.5
178.tif,Total,white,217,45,200,14,34,61,1201.5
178.tif,Total,white,238,562,196,533,81,42,1603.0
178.tif,Total,black,352,460,336,430,35,58,1236.5
20.tif,Total,white,344,48,317,0,58,106,3641.0
20.tif,Total,white,336,120,291,0,85,245,9053.0
20.tif,Total,white,160,546,131,509,51,66,2486.5
20.tif,Total,black,198,343,172,230,67,217,7483.5
20.tif,Total,black,445,506,403,340,90,235,6369.0
20.tif,Total,black,13,31,0,0,36,91,1913.5
20.tif,Total,black,101,234,59,183,79,108,3307.0
20.tif,Total,black,34,526,0,434,85,141,7099.5
20.tif,Total,black,273,17,265,0,20,43,593.0
20.tif,Total,black,219,36,209,0,24,86,1497.5
206.tif,Total,white,461,57,448,45,29,25,576.0
206.tif,Total,white,176,281,147,264,61,37,1524.0
206.tif,Total,white,142,314,124,286,38,58,1549.0
206.tif,Total,white,93,357,85,346,16,23,283.0
206.tif,Total,white,14,155,0,128,29,54,853.5
206.tif,Total,white,157,15,131,0,56,34,1418.5
206.tif,Total,white,256,480,245,465,22,33,458.0
206.tif,Total,white,261,512,248,469,26,80,1151.0
206.tif,Total,white,485,231,467,193,40,82,1892.0
206.tif,Total,white,443,448,431,424,25,49,781.0
206.tif,Total,white,527,516,518,502,21,28,419.0
206.tif,Total,white,457,374,445,361,25,29,514.0
206.tif,Total,black,139,462,127,446,26,33,575.0
206.tif,Total,black,387,514,364,484,52,59,2108.5
206.tif,Total,black,308,230,291,206,35,48,1129.0
206.tif,Total,black,560,97,542,74,33,55,1359.5
206.tif,Total,black,21,327,0,293,48,69,2536.5
206.tif,Total,black,28,22,0,0,65,54,2621.0
206.tif,Total,black,289,107,257,85,64,47,2024.0
343.tif,Total,black,276,231,241,205,73,51,1967.5
343.tif,Total,black,391,240,353,201,85,76,3996.5
343.tif,Total,black,440,127,407,102,69,48,2114.5
343.tif,Total,black,17,470,0,446,44,47,1475.5
343.tif,Total,black,99,504,71,485,63,39,1366.5
343.tif,Total,black,398,567,372,556,58,19,748.5
343.tif,Total,black,189,377,155,345,68,58,2195.0
343.tif,Total,white,72,168,49,137,52,58,1855.0
343.tif,Total,white,150,241,96,209,127,67,4980.5
343.tif,Total,white,195,68,168,55,55,28,1165.5
343.tif,Total,white,500,353,477,332,47,45,1466.0
343.tif,Total,white,295,377,272,347,47,67,1746.0
343.tif,Total,white,560,116,542,96,33,41,1162.5
343.tif,Total,white,556,140,514,94,61,97,3234.0
343.tif,Total,white,560,222,532,160,43,116,2593.5
343.tif,Total,black,234,169,217,156,31,27,544.0
343.tif,Total,black,439,350,421,340,39,21,428.0
343.tif,Total,black,309,92,301,82,19,21,257.5
98.tif,Total,white,503,98,486,81,36,34,829.5
98.tif,Total,white,481,140,465,125,31,30,642.5
98.tif,Total,white,7,142,0,130,17,24,347.0
98.tif,Total,black,346,251,333,235,29,30,642.5
77.tif,Total,black,435,277,402,257,57,39,1048.5
77.tif,Total,black,293,182,265,159,61,51,2023.5
77.tif,Total,black,18,432,0,403,41,55,1414.0
77.tif,Total,black,261,508,227,485,65,47,1797.5
77.tif,Total,black,128,313,109,297,39,33,860.0
77.tif,Total,white,511,563,479,546,54,29,943.0
77.tif,Total,white,124,190,70,140,128,89,4336.0
77.tif,Total,white,560,361,541,343,34,38,1014.5
77.tif,Total,white,43,322,31,312,25,20,369.0
77.tif,Total,white,289,219,267,212,44,15,355.0
77.tif,Total,white,323,324,304,314,38,22,556.0
77.tif,Total,white,500,168,480,156,42,25,449.0
77.tif,Total,white,203,222,190,209,31,30,562.0
77.tif,Total,black,49,188,3,155,88,62,2634.5
210.tif,Total,white,241,361,221,344,40,38,1106.5
210.tif,Total,white,176,369,166,356,21,28,410.0
210.tif,Total,white,164,145,149,124,31,40,1036.0
210.tif,Total,white,178,217,158,183,45,75,2075.5
210.tif,Total,white,100,129,90,120,22,20,326.0
210.tif,Total,white,216,42,203,34,27,17,336.5
210.tif,Total,white,394,16,373,0,43,32,844.0
210.tif,Total,white,530,202,519,192,24,22,416.0
210.tif,Total,white,84,476,67,463,36,29,776.0
210.tif,Total,white,266,515,252,493,28,42,896.0
210.tif,Total,white,218,534,206,505,27,58,932.0
210.tif,Total,white,362,553,350,528,24,47,719.0
210.tif,Total,white,47,73,33,61,28,24,443.0
210.tif,Total,white,336,26,325,16,23,21,324.5
210.tif,Total,white,413,299,402,282,25,35,668.5
210.tif,Total,black,385,202,370,190,33,25,637.0
210.tif,Total,black,569,430,559,402,16,54,491.0
210.tif,Total,black,458,563,437,543,50,32,979.5
210.tif,Total,black,242,444,210,430,65,30,1300.0
210.tif,Total,black,64,366,47,330,32,71,1612.0
210.tif,Total,black,12,450,0,417,30,64,1493.0
210.tif,Total,black,354,144,345,131,19,25,358.0
210.tif,Total,black,567,351,556,319,19,66,870.0
210.tif,Total,black,311,276,292,266,41,22,590.0
210.tif,Total,black,253,114,230,94,43,38,913.5
210.tif,Total,black,14,292,0,261,40,55,1015.5
355.tif,Total,white,56,230,46,221,20,20,316.5
355.tif,Total,white,146,222,133,204,26,35,642.5
355.tif,Total,white,126,265,115,256,23,18,273.0
355.tif,Total,white,100,105,91,91,21,29,483.5
355.tif,Total,white,14,34,0,20,26,27,466.0
355.tif,Total,white,322,101,310,80,27,40,662.5
355.tif,Total,white,424,44,410,24,29,42,781.0
355.tif,Total,white,274,344,264,330,22,29,453.0
355.tif,Total,white,322,343,309,327,22,32,452.5
355.tif,Total,white,190,476,182,468,18,17,242.0
355.tif,Total,white,59,524,53,518,14,14,156.5
355.tif,Total,white,39,565,34,558,11,14,117.5
355.tif,Total,white,47,426,33,400,29,47,745.0
355.tif,Total,white,99,361,88,329,27,65,1000.5
355.tif,Total,white,525,380,517,370,17,21,262.5
355.tif,Total,white,446,566,429,554,32,21,499.5
355.tif,Total,white,215,37,203,22,26,30,571.0
355.tif,Total,white,477,9,468,0,19,19,298.5
355.tif,Total,white,571,104,566,92,9,25,170.5
355.tif,Total,white,475,190,453,173,46,37,1080.5
355.tif,Total,white,566,246,556,223,19,51,671.5
355.tif,Total,white,355,290,347,282,17,18,218.5
355.tif,Total,black,367,195,336,175,58,45,1604.5
355.tif,Total,black,188,235,171,214,37,39,990.0
355.tif,Total,black,252,203,223,184,60,34,1172.5
355.tif,Total,black,282,61,261,41,41,38,859.0
355.tif,Total,black,148,85,132,56,32,56,1332.0
355.tif,Total,black,382,308,362,288,41,42,1254.0
355.tif,Total,black,72,362,55,343,33,36,750.0
355.tif,Total,black,166,340,153,328,28,27,511.0
355.tif,Total,black,366,523,349,493,31,59,1328.0
355.tif,Total,black,566,155,555,131,20,47,745.0
355.tif,Total,black,394,126,381,110,26,37,614.5
355.tif,Total,black,116,32,104,20,25,24,457.0
355.tif,Total,black,247,481,231,466,31,35,752.5
139.tif,Total,white,481,48,460,30,40,37,1029.5
139.tif,Total,white,222,17,203,0,39,37,1218.0
139.tif,Total,white,91,210,68,189,49,40,1032.0
139.tif,Total,white,90,321,79,310,23,23,411.0
139.tif,Total,white,51,349,39,342,24,15,299.0
139.tif,Total,white,244,176,234,168,20,17,269.5
139.tif,Total,white,536,460,519,448,34,25,686.5
139.tif,Total,white,310,425,295,411,33,28,681.0
139.tif,Total,white,336,489,315,474,45,29,777.0
139.tif,Total,white,308,570,298,564,22,11,166.5
139.tif,Total,white,285,475,279,469,13,13,128.0
247.tif,Total,white,373,271,348,247,58,46,1835.5
247.tif,Total,white,85,327,70,316,32,27,634.5
247.tif,Total,white,559,305,546,291,27,29,589.0
247.tif,Total,black,256,213,236,187,39,56,1397.5
247.tif,Total,black,256,329,241,314,35,34,819.5
247.tif,Total,black,424,318,399,264,49,100,2532.0
247.tif,Total,black,164,285,140,248,52,69,1669.5
302.tif,Total,white,3,214,0,202,10,28,202.5
302.tif,Total,white,57,491,44,485,25,13,237.5
302.tif,Total,white,546,471,504,432,71,76,3139.5
302.tif,Total,white,203,144,164,124,83,44,2148.0
302.tif,Total,black,10,129,0,100,30,56,951.0
302.tif,Total,black,186,317,169,306,31,22,422.5
302.tif,Total,black,225,27,145,0,125,76,5307.0
181.tif,Total,black,556,206,528,111,47,192,5646.5
181.tif,Total,black,48,348,19,296,57,100,3939.0
181.tif,Total,black,250,117,225,83,49,67,2644.5
181.tif,Total,black,192,545,166,512,53,63,2684.5
181.tif,Total,black,347,487,314,412,73,157,7988.0
181.tif,Total,black,390,341,340,284,99,120,6896.5
181.tif,Total,black,556,21,532,0,43,50,1730.0
181.tif,Total,black,443,77,398,0,88,144,8994.0
181.tif,Total,white,350,132,326,104,49,55,1916.5
181.tif,Total,white,310,354,258,315,95,70,3325.5
181.tif,Total,white,483,520,457,488,51,66,2448.5
119.tif,Total,white,199,382,176,373,42,20,392.0
119.tif,Total,black,565,323,553,78,23,498,5533.0
41.tif,Total,white,194,318,143,225,101,184,10715.0
41.tif,Total,black,274,158,236,122,81,74,4019.0
41.tif,Total,black,423,144,399,104,52,78,2891.0
41.tif,Total,black,563,76,546,33,29,79,1483.5
41.tif,Total,black,477,310,453,284,49,55,1833.5
41.tif,Total,black,407,443,383,394,57,85,3188.0
41.tif,Total,black,403,403,367,327,71,150,6514.0
41.tif,Total,black,248,546,201,507,104,68,3726.0
41.tif,Total,black,10,166,0,137,25,57,1087.0
41.tif,Total,black,7,245,0,209,19,72,924.5
375.tif,Total,black,36,44,0,0,100,137,7168.5
375.tif,Total,black,12,392,0,345,33,102,2028.5
375.tif,Total,white,172,27,147,0,49,58,1910.5
230.tif,Total,white,54,117,33,79,46,79,2207.0
230.tif,Total,white,85,182,60,164,50,33,1123.5
230.tif,Total,white,220,273,190,241,63,77,3060.5
230.tif,Total,white,378,79,344,31,85,106,3977.5
230.tif,Total,white,466,159,443,128,49,68,2198.5
230.tif,Total,white,516,113,492,92,52,49,1619.5
230.tif,Total,white,548,193,524,178,49,31,1022.0
230.tif,Total,white,381,447,362,427,42,47,1230.0
230.tif,Total,white,275,552,251,531,51,44,1633.5
230.tif,Total,white,91,419,74,401,37,42,955.0
230.tif,Total,white,497,229,469,205,55,51,1975.0
230.tif,Total,black,271,120,237,84,68,71,3140.0
230.tif,Total,black,331,268,291,227,83,85,4707.0
230.tif,Total,black,11,340,0,327,25,31,641.5
230.tif,Total,black,133,338,109,319,50,40,1427.5
230.tif,Total,black,411,166,390,138,44,59,1956.5
230.tif,Total,black,562,531,543,479,32,96,2041.0
230.tif,Total,black,554,127,528,93,47,66,1928.5
16.tif,Total,white,551,530,538,498,30,66,1458.0
16.tif,Total,white,93,504,77,483,34,41,914.5
16.tif,Total,white,77,217,59,198,38,39,963.5
16.tif,Total,white,453,486,435,471,36,33,849.5
16.tif,Total,black,200,168,182,142,38,62,1464.0
16.tif,Total,black,269,500,232,446,86,91,3166.0
16.tif,Total,black,349,106,327,56,50,96,2963.5
16.tif,Total,black,166,327,113,267,111,101,2746.0
16.tif,Total,black,401,281,375,259,53,44,1405.0
16.tif,Total,black,370,215,337,196,56,44,1312.0
16.tif,Total,black,391,438,362,367,61,146,2947.0
16.tif,Total,white,523,432,514,410,21,45,684.0
16.tif,Total,white,253,371,242,363,23,18,301.5
288.tif,Total,white,195,261,171,244,51,39,1342.0
288.tif,Total,white,92,475,60,429,64,99,4035.5
288.tif,Total,white,532,53,502,14,63,82,2709.5
288.tif,Total,white,483,373,466,354,37,41,808.5
288.tif,Total,white,490,535,453,513,68,43,1921.5
288.tif,Total,white,6,55,0,40,17,34,380.5
288.tif,Total,black,180,131,150,112,59,39,1600.5
288.tif,Total,black,376,372,326,344,94,54,3245.0
288.tif,Total,black,165,493,129,452,83,90,3675.5
288.tif,Total,black,527,175,509,158,36,36,955.5
288.tif,Total,black,473,264,456,246,38,37,1016.0
288.tif,Total,black,285,43,263,27,51,40,1090.0
288.tif,Total,black,111,170,92,155,39,30,787.0
288.tif,Total,black,433,39,421,23,26,32,585.0
288.tif,Total,black,137,39,123,28,29,21,314.5
288.tif,Total,black,7,364,0,337,19,57,529.0
288.tif,Total,black,365,565,350,559,35,14,356.5
322.tif,Total,white,520,552,478,520,85,55,3253.5
322.tif,Total,white,325,311,303,284,42,61,1262.0
322.tif,Total,white,352,141,331,113,40,61,1117.5
322.tif,Total,black,192,353,104,245,181,207,11799.0
322.tif,Total,black,196,564,182,547,36,28,632.5
322.tif,Total,black,329,531,271,471,121,104,5436.5
322.tif,Total,black,12,55,0,39,24,35,619.5
322.tif,Total,black,518,292,498,263,44,58,1673.0
267.tif,Total,white,278,90,264,47,33,99,1941.0
267.tif,Total,white,540,347,527,328,29,38,915.0
267.tif,Total,white,329,546,314,527,34,39,880.5
267.tif,Total,white,84,7,75,0,20,17,248.0
267.tif,Total,black,141,37,110,1,60,73,2661.0
267.tif,Total,black,455,254,442,228,28,53,1095.0
267.tif,Total,black,325,346,309,326,36,38,946.0
267.tif,Total,black,195,220,178,203,34,35,807.5
267.tif,Total,black,253,114,236,81,31,63,1311.5
267.tif,Total,black,486,51,471,23,31,52,1043.5
267.tif,Total,black,164,513,147,489,36,49,1339.0
158.tif,Total,white,490,247,445,193,90,115,5581.0
158.tif,Total,black,178,292,149,263,55,59,2091.5
158.tif,Total,white,534,536,501,493,71,82,4034.5
158.tif,Total,white,161,482,131,456,63,56,2642.5
158.tif,Total,black,136,140,66,74,147,151,8958.5
158.tif,Total,black,524,107,474,65,101,91,4194.0
334.tif,Total,white,98,317,66,284,60,70,2609.0
334.tif,Total,white,21,373,0,336,48,74,2836.5
334.tif,Total,white,533,369,493,312,80,117,5589.5
334.tif,Total,white,213,482,171,448,84,71,3235.5
334.tif,Total,white,267,551,236,517,60,58,2527.0
334.tif,Total,white,537,557,509,533,54,42,1582.0
334.tif,Total,white,276,145,249,120,53,49,1832.0
334.tif,Total,black,467,541,425,497,77,78,3990.0
334.tif,Total,black,482,351,474,341,16,20,220.0
334.tif,Total,black,145,383,138,373,15,15,122.5
334.tif,Total,black,390,297,385,290,11,14,121.0
334.tif,Total,black,175,311,169,305,14,13,125.0
271.tif,Total,black,413,73,383,44,69,51,960.5
271.tif,Total,black,306,553,292,532,29,38,438.5
271.tif,Total,black,251,109,239,90,33,31,441.5
271.tif,Total,black,144,195,134,181,18,28,236.5
271.tif,Total,black,117,9,101,1,32,18,334.5
271.tif,Total,black,297,386,283,370,32,28,408.5
57.tif,Total,white,280,216,261,183,44,62,1323.5
57.tif,Total,black,214,222,197,201,34,43,1042.5
57.tif,Total,black,219,353,211,344,16,19,226.5
57.tif,Total,black,102,368,95,356,14,28,293.0
363.tif,Total,white,37,325,24,317,27,17,306.5
363.tif,Total,white,92,283,81,272,23,25,384.5
363.tif,Total,white,459,434,447,419,24,30,432.0
363.tif,Total,white,395,475,378,465,33,20,520.5
363.tif,Total,white,226,401,212,393,30,16,372.0
363.tif,Total,white,132,544,122,532,21,24,358.0
363.tif,Total,white,106,569,98,562,18,13,197.5
363.tif,Total,white,492,282,481,274,23,18,324.5
363.tif,Total,white,540,335,529,322,22,27,430.0
363.tif,Total,white,463,349,451,331,26,33,530.0
363.tif,Total,white,444,162,430,150,26,26,404.5
363.tif,Total,white,167,272,155,263,27,18,367.5
363.tif,Total,white,5,152,0,125,17,53,551.5
363.tif,Total,white,34,112,25,104,21,19,317.0
363.tif,Total,white,281,467,265,453,30,26,558.5
363.tif,Total,white,190,425,182,417,17,16,197.0
363.tif,Total,white,545,470,534,456,23,28,436.5
363.tif,Total,black,233,525,221,512,22,28,328.0
363.tif,Total,black,324,567,308,558,36,17,522.5
363.tif,Total,black,221,174,209,165,25,19,349.5
363.tif,Total,black,377,566,362,553,36,22,422.5
363.tif,Total,black,8,285,0,268,21,36,545.0
363.tif,Total,black,368,67,344,39,56,57,2116.5
226.tif,Total,black,80,149,68,133,25,34,662.0
226.tif,Total,black,199,175,172,147,59,57,2451.5
226.tif,Total,black,361,86,347,74,30,25,548.5
226.tif,Total,black,447,160,435,147,24,25,407.0
226.tif,Total,black,12,440,0,418,30,48,1035.0
226.tif,Total,black,458,428,445,416,27,24,501.0
226.tif,Total,black,486,303,469,280,34,49,1206.0
226.tif,Total,black,197,38,184,22,26,33,624.0
226.tif,Total,black,171,452,155,428,35,49,991.5
226.tif,Total,black,296,444,281,425,30,38,782.5
226.tif,Total,black,80,554,67,535,28,40,799.0
226.tif,Total,white,125,451,109,425,33,54,1212.0
226.tif,Total,white,437,558,425,537,24,38,683.5
226.tif,Total,white,545,437,538,423,17,31,384.0
226.tif,Total,white,533,139,521,120,26,37,653.5
226.tif,Total,white,313,168,305,156,18,25,350.0
226.tif,Total,white,287,288,0,0,575,575,329726.5
226.tif,Total,white,200,86,154,50,83,63,2258.0
174.tif,Total,black,153,196,118,151,71,89,4225.0
174.tif,Total,black,341,126,309,74,67,104,3477.5
174.tif,Total,black,236,250,200,209,74,82,3814.0
174.tif,Total,white,14,230,0,106,43,197,4222.5
174.tif,Total,white,553,147,528,111,47,77,2440.5
318.tif,Total,white,178,294,165,271,28,48,1029.0
318.tif,Total,white,149,558,117,537,71,38,1692.0
318.tif,Total,white,150,406,140,390,22,34,552.0
318.tif,Total,white,454,76,444,58,22,35,465.0
318.tif,Total,white,531,549,506,519,60,54,1965.5
318.tif,Total,white,190,130,173,109,33,41,947.5
318.tif,Total,black,322,531,273,458,103,117,7125.0
318.tif,Total,black,189,447,161,371,64,149,3873.0
318.tif,Total,black,281,263,249,227,69,74,2732.5
318.tif,Total,black,26,171,12,111,31,122,2428.5
318.tif,Total,black,354,114,329,67,55,90,2596.5
318.tif,Total,black,13,300,0,265,33,81,1683.5
94.tif,Total,white,12,179,0,104,27,127,2269.5
94.tif,Total,white,23,484,4,450,40,67,2014.5
94.tif,Total,black,105,510,75,441,61,118,3110.5
94.tif,Total,black,155,238,121,193,65,105,3710.0
123.tif,Total,white,352,499,339,488,26,25,505.5
123.tif,Total,white,362,527,333,506,58,44,1614.5
123.tif,Total,white,262,538,228,527,64,22,1064.5
123.tif,Total,white,189,209,163,169,58,92,2387.5
123.tif,Total,black,302,300,262,271,72,51,1677.0
123.tif,Total,black,546,538,515,497,60,78,3644.5
123.tif,Total,black,235,448,209,425,50,40,1231.5
82.tif,Total,black,156,230,122,201,69,58,2635.0
82.tif,Total,black,146,453,106,416,85,74,3983.0
82.tif,Total,black,340,156,313,104,55,102,3368.0
82.tif,Total,black,232,12,205,0,67,31,1362.5
82.tif,Total,black,555,449,525,405,50,81,2392.5
82.tif,Total,white,347,462,302,412,87,104,5064.0
82.tif,Total,white,500,75,491,66,18,18,233.0
82.tif,Total,white,315,18,304,5,22,23,345.0
82.tif,Total,white,46,219,37,202,21,32,418.5
82.tif,Total,white,377,542,350,532,50,22,829.5
82.tif,Total,black,267,106,250,84,34,45,1051.0
6.tif,Total,white,312,537,279,485,66,83,2358.0
6.tif,Total,black,150,260,134,245,30,33,640.0
6.tif,Total,white,149,386,136,375,26,24,392.0
6.tif,Total,white,449,297,438,284,24,26,361.5
6.tif,Total,white,524,39,507,2,34,92,1725.5
6.tif,Total,white,296,275,289,264,16,21,253.5
6.tif,Total,white,29,17,19,5,22,25,370.0
6.tif,Total,white,410,65,403,59,15,14,163.0
6.tif,Total,white,297,152,286,142,23,21,303.5
6.tif,Total,white,420,125,400,105,40,37,920.5
6.tif,Total,white,358,448,344,435,30,26,589.5
6.tif,Total,black,250,60,185,0,135,122,8420.5
6.tif,Total,black,270,304,237,272,71,70,3230.0
6.tif,Total,black,214,545,174,505,93,70,4418.5
6.tif,Total,black,90,305,65,272,49,67,2154.0
6.tif,Total,black,531,515,509,452,49,122,2892.5
6.tif,Total,black,247,409,191,345,131,120,8396.5
